time,open,high,low,close,volume
2020-09-01 21:30:00,28419.36,28425.16,28418.36,28424.16,42.0
2020-09-01 21:31:00,28424.16,28425.16,28420.37,28421.87,30.0
2020-09-01 21:32:00,28421.87,28424.04,28420.96,28421.96,33.0
2020-09-01 21:33:00,28421.96,28427.17,28419.96,28425.87,28.0
2020-09-01 21:34:00,28426.87,28428.96,28425.32,28427.23,34.0
2020-09-01 21:35:00,28427.23,28429.94,28425.76,28429.94,42.0
2020-09-01 21:36:00,28428.94,28433.07,28428.94,28432.13,42.0
2020-09-01 21:37:00,28432.13,28433.66,28430.16,28431.65,28.0
2020-09-01 21:38:00,28430.65,28435.09,28430.65,28433.55,35.0
2020-09-01 21:39:00,28433.46,28440.72,28432.53,28440.72,50.0
2020-09-01 21:40:00,28441.63,28441.63,28435.44,28435.44,49.0
2020-09-01 21:41:00,28433.94,28437.34,28430.83,28432.69,51.0
2020-09-01 21:42:00,28433.69,28436.28,28432.59,28436.28,29.0
2020-09-01 21:43:00,28437.28,28437.28,28431.88,28432.91,34.0
2020-09-01 21:44:00,28433.41,28433.41,28424.39,28426.15,46.0
2020-09-01 21:45:00,28426.65,28433.26,28423.19,28432.76,37.0
2020-09-01 21:46:00,28431.76,28433.27,28429.75,28429.75,33.0
2020-09-01 21:47:00,28430.25,28433.36,28429.75,28431.06,27.0
2020-09-01 21:48:00,28430.56,28431.56,28427.06,28429.62,32.0
2020-09-01 21:49:00,28429.43,28441.75,28429.43,28438.74,44.0
2020-09-01 21:50:00,28438.67,28443.28,28436.14,28437.62,43.0
2020-09-01 21:51:00,28437.12,28440.62,28433.85,28433.85,39.0
2020-09-01 21:52:00,28433.85,28437.61,28433.85,28434.71,38.0
2020-09-01 21:53:00,28433.71,28433.71,28420.59,28422.94,42.0
2020-09-01 21:54:00,28416.45,28417.9,28406.25,28409.15,39.0
2020-09-01 21:55:00,28408.65,28410.49,28402.04,28409.99,53.0
2020-09-01 21:56:00,28404.99,28407.09,28394.76,28403.2,60.0
2020-09-01 21:57:00,28402.7,28402.7,28391.76,28392.76,58.0
2020-09-01 21:58:00,28390.26,28403.16,28389.26,28397.14,69.0
2020-09-01 21:59:00,28397.14,28397.14,28374.89,28385.63,77.0
2020-09-01 22:00:00,28384.63,28386.07,28367.13,28384.04,79.0
2020-09-01 22:01:00,28383.25,28384.25,28354.77,28356.28,74.0
2020-09-01 22:02:00,28355.87,28355.87,28325.62,28329.25,90.0
2020-09-01 22:03:00,28330.8,28336.15,28321.75,28336.15,87.0
2020-09-01 22:04:00,28333.15,28349.89,28333.15,28348.05,90.0
2020-09-01 22:05:00,28349.05,28349.05,28331.77,28331.77,78.0
2020-09-01 22:06:00,28332.32,28332.32,28307.27,28328.59,88.0
2020-09-01 22:07:00,28328.59,28335.04,28321.29,28323.29,72.0
2020-09-01 22:08:00,28321.79,28325.42,28310.1,28311.26,71.0
2020-09-01 22:09:00,28311.24,28321.14,28294.96,28320.46,99.0
2020-09-01 22:10:00,28320.12,28326.17,28305.25,28323.67,98.0
2020-09-01 22:11:00,28324.17,28327.67,28312.15,28315.8,75.0
2020-09-01 22:12:00,28316.8,28335.17,28316.8,28333.17,76.0
2020-09-01 22:13:00,28333.17,28335.17,28325.08,28334.02,71.0
2020-09-01 22:14:00,28335.02,28340.98,28330.93,28332.27,73.0
2020-09-01 22:15:00,28331.27,28334.27,28317.56,28331.78,74.0
2020-09-01 22:16:00,28332.28,28338.9,28330.14,28335.56,64.0
2020-09-01 22:17:00,28335.06,28336.79,28324.66,28334.77,73.0
2020-09-01 22:18:00,28334.77,28343.46,28328.94,28339.78,72.0
2020-09-01 22:19:00,28339.78,28352.42,28339.78,28350.75,68.0
2020-09-01 22:20:00,28349.37,28352.95,28343.77,28352.15,61.0
2020-09-01 22:21:00,28351.65,28358.58,28350.91,28355.51,77.0
