Date,Open,High,Low,Close,Adj Close,Volume
2016-10-31,28.412500,28.557501,27.027500,27.209999,25.682770,625386000
2016-11-07,27.520000,27.930000,26.457500,27.107500,25.717388,829076000
2016-11-14,26.927500,27.635000,26.020000,27.514999,26.103992,793365600
2016-11-21,27.530001,28.105000,27.502501,27.947500,26.514313,376529600
2016-11-28,27.857500,28.117500,27.212500,27.475000,26.066044,622000000
2016-12-05,27.500000,28.674999,27.062500,28.487499,27.026619,607958400
2016-12-12,28.322500,29.182501,28.122499,28.992500,27.505724,780062400
2016-12-19,28.950001,29.375000,28.897499,29.129999,27.636169,453292000
2016-12-26,29.129999,29.504999,28.857500,28.955000,27.470144,339314400
2017-01-02,28.950001,29.540001,28.690001,29.477501,27.965857,415382000
2017-01-09,29.487499,29.982500,29.485001,29.760000,28.233862,555242800
2017-01-16,29.584999,30.125000,29.555000,30.000000,28.461563,465392000
2017-01-23,30.000000,30.610001,29.875000,30.487499,28.924057,498157200
2017-01-30,30.232500,32.622501,30.155001,32.270000,30.615150,999124800
2017-02-06,32.282501,33.235001,32.224998,33.029999,31.336170,545796800
2017-02-13,33.270000,34.067501,33.187500,33.930000,32.329590,546670000
2017-02-20,34.057499,34.369999,33.820000,34.165001,32.553505,351635600
2017-02-27,34.285000,35.070000,34.070000,34.945000,33.296707,509896000
2017-03-06,34.842499,34.994999,34.262501,34.785000,33.144257,398688800
2017-03-13,34.712502,35.255001,34.705002,34.997501,33.346737,486158400
2017-03-20,35.099998,35.700001,34.932499,35.160000,33.501568,518696000
2017-03-27,34.847500,36.125000,34.654999,35.915001,34.220959,508035600
2017-04-03,35.927502,36.365002,35.762501,35.834999,34.144726,421664800
2017-04-10,35.900002,35.970001,35.014999,35.262501,33.599232,349942800
2017-04-17,35.369999,35.730000,35.112499,35.567501,33.889851,356994000
2017-04-24,35.875000,36.224998,35.794998,35.912498,34.218575,364614800
2017-05-01,36.275002,37.244999,36.067501,37.240002,35.483456,701406800
2017-05-08,37.257500,39.105000,37.257500,39.025002,37.184258,693882400
2017-05-15,39.002499,39.162498,37.427502,38.264999,36.610600,629419600
2017-05-22,38.500000,38.724998,38.167500,38.402500,36.742161,412906000
2017-05-29,38.355000,38.862499,38.055000,38.862499,37.182270,355011600
2017-06-05,38.584999,38.994999,36.505001,37.244999,35.634693,636638800
2017-06-12,36.435001,36.875000,35.549999,35.567501,34.029736,882121600
2017-06-19,35.915001,36.790001,35.915001,36.570000,34.988884,533012000
2017-06-26,36.792500,37.070000,35.570000,36.005001,34.448315,508240800
2017-07-03,36.220001,36.325001,35.602501,36.044998,34.486584,316711600
2017-07-10,36.027500,37.332500,35.842499,37.259998,35.649052,444353600
2017-07-17,37.205002,37.935001,37.142502,37.567501,35.943256,424326400
2017-07-24,37.645000,38.497501,36.825001,37.375000,35.759083,423272400
2017-07-31,37.474998,39.937500,37.032501,39.097500,37.407112,691234000
2017-08-07,39.264999,40.457500,38.657501,39.369999,37.667828,605076400
2017-08-14,39.830002,40.627499,39.180000,39.375000,37.820560,538514000
2017-08-21,39.375000,40.185001,38.777500,39.965000,38.387260,450684800
2017-08-28,40.035000,41.235001,39.982498,41.012501,39.393410,504514800
2017-09-04,40.937500,41.062500,39.632500,39.657501,38.091904,406640800
2017-09-11,40.125000,40.990002,39.477501,39.970001,38.392063,884310000
