Date,Open,High,Low,Close,Adj Close,Volume
2000-10-01,100.937500,100.937500,81.125000,83.000000,70.900833,9019900
2000-11-01,84.250000,88.562500,72.062500,74.500000,63.639954,8253000
2000-12-01,75.000000,81.937500,67.000000,69.500000,59.368793,7091300
2001-01-01,69.250000,78.375000,67.375000,73.550003,62.828426,8711800
2001-02-01,73.400002,74.190002,69.260002,71.510002,61.085785,5650800
2001-03-01,70.050003,77.599998,65.400002,72.250000,61.717911,8367700
2001-04-01,70.000000,78.000000,67.419998,76.650002,65.569710,7160700
2001-05-01,77.000000,85.750000,76.500000,78.099998,66.810097,8959100
2001-06-01,78.099998,79.599998,65.150002,65.800003,56.288166,34633500
2001-07-01,65.900002,66.000000,46.250000,49.520000,42.361546,11928800
2001-08-01,49.900002,52.720001,44.500000,44.900002,38.409405,6735100
2001-09-01,44.000000,44.689999,33.020000,33.200001,28.400715,8860400
2001-10-01,33.700001,42.500000,32.799999,38.200001,32.769009,11083100
2001-11-01,38.299999,48.849998,37.910000,47.700001,40.918385,9006800
2001-12-01,46.200001,50.250000,43.169998,45.099998,38.688015,7238400
2002-01-01,45.349998,49.680000,42.750000,44.759998,38.396351,8371100
2002-02-01,43.500000,47.849998,40.599998,46.200001,39.631630,5023100
2002-03-01,47.189999,57.099998,47.150002,51.700001,44.349682,7593600
2002-04-01,50.480000,56.439999,50.250000,54.200001,46.593060,5524000
2002-05-01,53.849998,59.950001,52.650002,58.110001,49.954288,7397900
2002-06-01,57.500000,58.009998,47.910000,53.099998,45.647446,6357100
2002-07-01,52.099998,53.490002,43.799999,45.330002,38.967972,8875100
2002-08-01,44.750000,46.450001,42.009998,43.509998,37.403397,6690300
2002-09-01,42.299999,45.180000,40.200001,41.099998,35.331638,6927500
2002-10-01,41.599998,45.840000,39.790001,43.240002,37.271450,8635100
2002-11-01,43.400002,45.779999,40.520000,44.349998,38.228241,7828000
2002-12-01,44.900002,45.049999,40.880001,41.310001,35.607857,6731300
2003-01-01,41.419998,43.400002,39.330002,39.950001,34.435574,6137000
2003-02-01,39.950001,40.150002,37.660000,37.970001,32.728878,4803500
2003-03-01,38.139999,38.310001,34.849998,35.130001,30.280907,7591400
2003-04-01,35.000000,35.820000,23.160000,24.740000,21.393400,44687600
2003-05-01,24.360001,27.440001,24.010000,27.340000,23.641703,54726700
2003-06-01,28.000000,29.990000,27.600000,28.000000,24.212429,38481100
2003-07-01,28.400000,34.380001,28.330000,31.200001,26.979563,39930900
2003-08-01,31.180000,33.400002,29.389999,32.950001,28.492838,19163100
2003-09-01,33.700001,38.299999,33.459999,34.799999,30.092585,26740500
2003-10-01,34.840000,38.040001,33.970001,35.200001,30.547239,26880300
2003-11-01,35.700001,37.049999,33.650002,34.349998,29.809589,15433400
2003-12-01,34.000000,34.889999,32.419998,34.669998,30.087294,17422500
2004-01-01,34.889999,42.000000,34.810001,40.650002,35.276855,20397500
2004-02-01,40.279999,42.810001,39.520000,40.939999,35.528519,11515500
2004-03-01,41.750000,42.150002,38.290001,41.810001,36.283516,13061700
2004-04-01,41.250000,43.669998,38.130001,38.400002,33.435383,12264200
2004-05-01,38.500000,39.340000,33.950001,36.869999,32.103191,11531800
2004-06-01,36.660000,38.290001,35.360001,38.049999,33.130642,7208500
2004-07-01,38.040001,38.500000,34.029999,34.650002,30.170204,10235100
2004-08-01,35.000000,35.259998,32.349998,34.669998,30.187614,11847500
2004-09-01,34.599998,36.490002,33.400002,34.389999,29.943810,8685200
2004-10-01,34.400002,35.400002,33.770000,34.849998,30.445650,8878800
2004-11-01,34.630001,36.799999,34.500000,36.360001,31.764822,9439800
2004-12-01,35.849998,39.200001,35.750000,38.959999,34.036232,16470800
2005-01-01,38.959999,39.529999,36.259998,37.020000,32.341408,18177700
2005-02-01,36.900002,38.310001,36.459999,37.790001,33.014084,9709700
2005-03-01,38.040001,41.810001,37.849998,40.020000,34.962261,39297300
2005-04-01,39.950001,40.790001,35.770000,36.709999,32.163773,20180500
2005-05-01,37.250000,38.450001,36.299999,37.270000,32.654427,12833300
2005-06-01,37.160000,37.630001,34.380001,34.439999,30.174889,17495300
2005-07-01,34.639999,35.830002,32.380001,32.509998,28.483910,15493000
2005-08-01,32.650002,34.590000,32.570000,33.619999,29.456444,12805500
2005-09-01,33.520000,36.740002,33.000000,33.189999,29.079693,15743300
2005-10-01,33.080002,34.630001,31.799999,32.799999,28.834309,11721400
2005-11-01,32.910000,37.459999,32.450001,37.009998,32.535290,12118100
2005-12-01,37.180000,41.299999,36.200001,40.799999,35.867069,14872300
2006-01-01,41.250000,51.160000,40.900002,48.900002,42.987736,33723500
2006-02-01,47.549999,49.950001,45.570000,46.880001,41.211971,17496500
2006-03-01,47.000000,48.009998,44.389999,46.070000,40.499893,17742600
2006-04-01,46.950001,52.290001,45.700001,48.939999,43.125641,11162400
2006-05-01,48.599998,50.880001,44.750000,45.169998,39.803543,12475500
2006-06-01,43.910000,46.900002,40.669998,44.040001,38.807796,18214600
2006-07-01,43.790001,46.400002,39.299999,45.990002,40.526134,14808700
2006-08-01,45.200001,46.169998,42.259998,43.410000,38.252651,15240200
2006-09-01,43.500000,44.090000,40.270000,40.360001,35.564995,13270300
2006-10-01,39.869999,42.369999,37.240002,40.980000,36.206398,38105600
2006-11-01,41.400002,41.400002,38.500000,39.410000,34.819286,26512000
2006-12-01,39.730000,43.779999,39.270000,42.830002,37.840904,19630400
2007-01-01,42.900002,48.009998,42.730000,46.330002,40.933197,33737900
2007-02-01,47.139999,53.340000,47.130001,51.730000,45.704182,25746700
2007-03-01,51.599998,53.240002,48.279999,50.490002,44.608612,25608600
2007-04-01,50.270000,55.540001,49.770000,53.259998,47.148132,17278200
2007-05-01,52.939999,59.840000,52.509998,57.700001,51.078621,16518100
2007-06-01,57.200001,57.330002,50.439999,51.369999,45.475029,18014800
2007-07-01,52.599998,54.119999,50.320000,52.740002,46.687813,18816400
2007-08-01,51.840000,52.419998,43.860001,47.779999,42.296989,27966000
2007-09-01,48.349998,49.900002,45.540001,48.060001,42.544872,15725800
2007-10-01,48.200001,51.279999,44.570000,49.459999,43.891735,21774900
2007-11-01,50.200001,55.560001,46.480000,53.970001,47.894005,20321700
2007-12-01,54.400002,56.750000,52.610001,54.299999,48.186848,16140200
2008-01-01,54.299999,57.189999,45.529999,47.500000,42.152393,33382500
2008-02-01,45.570000,50.000000,42.730000,47.209999,41.895042,27325100
2008-03-01,46.480000,47.480000,39.910000,40.070000,35.558884,23413600
2008-04-01,41.070000,46.389999,39.520000,45.790001,40.748741,18222500
