Date,Open,High,Low,Close,Adj Close,Volume
2000-10-01,23.500000,23.500000,19.500000,20.875000,14.782603,504400
2000-11-01,20.000000,23.125000,16.500000,18.375000,13.012228,678400
2000-12-01,18.625000,20.625000,17.500000,19.000000,13.454823,578700
2001-01-01,19.500000,21.500000,17.000000,20.625000,14.605563,621000
2001-02-01,20.750000,21.937500,19.625000,20.703125,14.660887,508700
2001-03-01,20.203125,22.500000,18.625000,20.750000,14.694081,859800
2001-04-01,20.375000,22.375000,18.900000,20.049999,14.233088,952700
2001-05-01,20.900000,24.750000,19.850000,24.200001,17.179096,1281100
2001-06-01,23.629999,25.200001,19.500000,23.500000,16.682178,1394600
2001-07-01,23.250000,24.700001,21.500000,21.700001,15.404392,825000
2001-08-01,21.600000,22.750000,18.750000,19.500000,13.842658,889800
2001-09-01,19.750000,20.299999,13.000000,17.650000,12.529383,7971900
2001-10-01,17.750000,20.750000,17.250000,19.100000,13.610677,320000
2001-11-01,19.299999,22.900000,19.100000,21.600000,15.392177,1493300
2001-12-01,21.500000,23.750000,20.250000,21.500000,15.320913,332700
2002-01-01,21.500000,22.350000,15.860000,18.240000,12.997836,1649000
2002-02-01,16.750000,19.400000,16.600000,18.299999,13.040593,620500
2002-03-01,18.299999,25.150000,18.000000,18.200001,12.969335,1573100
2002-04-01,17.900000,19.750000,16.650000,17.350000,12.399898,550100
2002-05-01,17.500000,18.850000,17.000000,17.250000,12.328431,702000
2002-06-01,17.500000,18.700001,15.900000,18.650000,13.328992,735800
2002-07-01,18.200001,18.450001,14.500000,15.500000,11.077719,485400
2002-08-01,15.500000,16.250000,13.500000,14.750000,10.541702,319400
2002-09-01,14.900000,16.000000,14.000000,14.750000,10.541702,1670000
2002-10-01,13.750000,14.000000,10.410000,12.100000,8.698720,1044800
2002-11-01,12.450000,13.500000,10.800000,13.000000,9.345730,1395100
2002-12-01,13.400000,13.750000,11.050000,11.850000,8.518992,1107200
2003-01-01,11.650000,12.450000,9.750000,10.210000,7.339991,1525900
2003-02-01,10.470000,10.630000,9.600000,10.000000,7.189022,1109800
2003-03-01,9.850000,10.650000,9.000000,10.300000,7.404695,736400
2003-04-01,10.000000,10.500000,8.800000,9.750000,7.063514,1009400
2003-05-01,9.750000,10.450000,8.500000,9.350000,6.773730,1438300
2003-06-01,9.000000,14.150000,8.550000,9.200000,6.665059,1356000
2003-07-01,9.250000,15.400000,9.100000,10.100000,7.317078,1587800
2003-08-01,10.150000,10.950000,9.290000,10.450000,7.570638,1189100
